2026-09-12 15:12:44,49.13558648,-0.47301722
2026-09-12 15:22:00,49.13552618,-0.47288507
2026-09-12 16:22:06,49.18140155,-0.37402476
2026-09-12 17:22:11,49.183224,-0.36239067
2026-09-12 18:22:18,49.16929382,-0.40545717
2026-09-12 19:22:23,49.13559743,-0.47306974
2026-09-12 20:22:28,49.13561658,-0.47299819
2026-09-13 07:25:18,49.13555741,-0.47290964
2026-09-13 08:25:24,49.13557988,-0.47303376
2026-09-13 18:28:43,49.13557343,-0.47310811
2026-09-14 02:50:28,49.13560455,-0.47305304
2026-09-14 21:25:48,48.7663427,0.6267689
2026-09-14 21:29:46,48.7663082,0.6268077
2026-09-15 08:33:20,48.7417563,0.6438464
2026-09-15 16:38:38,48.7417422,0.6439683
2026-09-16 00:40:38,48.7663124,0.6267958
2026-09-16 08:36:05,48.74173,0.6439664
2026-09-16 11:30:57,48.741717,0.6440226
2026-09-16 16:34:52,48.7417119,0.6439976
2026-09-17 00:53:04,48.7662738,0.626789
2026-09-17 08:34:17,48.7417304,0.6440129
2026-09-17 16:39:52,48.7417506,0.6439625
2026-09-18 00:41:20,48.7662728,0.6267612
2026-09-18 08:34:00,48.7417797,0.6439142
2026-09-18 16:38:08,49.1354085,-0.4728768
2026-09-19 00:40:06,49.1355673,-0.4731095
2026-09-19 10:06:33,49.2079271,-0.3590352
2026-09-19 10:13:40,49.2080444,-0.3586363
2026-09-19 16:33:43,49.2081471,-0.3588219
2026-09-19 20:38:16,49.135566,-0.4730811
2026-09-19 20:41:02,49.135566,-0.4730811
2026-09-20 00:41:07,49.1355256,-0.4730621
2026-09-20 08:33:53,49.1355613,-0.473107
